m;ep;C 
5;47.304;1.0000000000
5;48.250;1.0000000000
5;49.215;1.0000000000
5;50.200;1.0000000000
5;51.204;1.0000000000
5;52.228;1.0000000000
5;53.272;1.0000000000
5;54.338;1.0000000000
5;55.425;1.0000000000
5;56.533;1.0000000000
5;57.664;1.0000000000
5;58.817;1.0000000000
5;59.993;1.0000000000
5;61.193;1.0000000000
5;62.417;1.0000000000
5;63.665;1.0000000000
5;64.939;1.0000000000
5;66.238;1.0000000000
5;67.562;1.0000000000
5;68.914;1.0000000000
5;70.292;1.0000000000
5;0.000;0.0000000000
5;0.000;0.0000000000
5;0.000;0.0000000000
5;0.000;0.0000000000
5;0.000;0.0000000000
5;0.000;0.0000000000
5;0.000;0.0000000000
5;0.000;0.0000000000
5;0.000;0.0000000000
5;0.000;0.0000000000
5;0.000;0.0000000000
5;0.000;0.0000000000
5;0.000;0.0000000000
5;0.000;0.0000000000
5;nan;1.0000000000
5;0.000;0.0000000000
5;0.000;0.0000000000
5;0.000;0.0000000000
5;0.000;0.0000000000
5;0.000;0.0000000000
5;0.000;0.0000000000
5;0.000;0.0000000000
5;0.000;0.0000000000
5;0.000;0.0000000000
5;0.000;0.0000000000
5;0.000;0.0000000000
5;0.000;0.0000000000
5;0.000;0.0000000000
5;-1.000;0.0000000000
5;0.000;0.0000000000
5;0.000;0.0000000000
5;0.000;0.0000000000
5;0.000;0.0000000000
5;0.000;0.0000000000
5;0.000;0.0000000000
5;0.000;0.0000000000
5;0.000;0.0000000000
5;0.000;0.0000000000
5;0.000;0.0000000000
5;0.000;0.0000000000
5;0.000;0.0000000000
5;0.000;0.0000000000
5;0.000;0.0000000000
5;0.000;0.0000000000
5;0.000;0.0000000000
5;0.000;0.0000000000
5;0.000;0.0000000000
5;0.000;0.0000000000
5;0.000;0.0000000000
5;0.000;0.0000000000
5;0.000;0.0000000000
5;0.000;0.0000000000
5;0.000;0.0000000000
5;0.000;0.0000000000
5;0.000;0.0000000000
5;0.000;0.0000000000
5;0.000;0.0000000000
5;0.000;0.0000000000
5;0.000;0.0000000000
5;0.000;0.0000000000
5;0.000;0.0000000000
5;0.000;0.0000000000
5;0.000;0.0000000000
5;0.000;0.0000000000
5;0.000;0.0000000000
5;0.000;0.0000000000
5;0.000;0.0000000000
5;0.000;0.0000000000
5;0.000;0.0000000000
5;0.000;0.0000000000
5;0.000;0.0000000000
5;-nan;1.0000000000
5;0.000;0.0000000000
5;0.000;0.0000000000
5;0.000;0.0000000000
5;0.000;0.0000000000
5;0.000;0.0000000000
5;0.000;0.0000000000
5;0.000;0.0000000000
5;0.000;0.0000000000
5;0.000;0.0000000000
5;0.000;0.0000000000
5;0.000;0.0000000000
5;0.000;0.0000000000
5;0.000;0.0000000000
5;0.000;0.0000000000
5;0.000;0.0000000000
5;0.000;0.0000000000
5;0.000;0.0000000000
5;0.000;0.0000000000
5;0.000;0.0000000000
5;0.000;0.0000000000
5;0.000;0.0000000000
5;0.000;0.0000000000
6;15.300;0.9167517875
6;15.606;0.9203268641
6;15.918;0.9267109295
6;16.236;0.9325842697
6;16.561;0.9430541369
6;16.892;0.9560776302
6;17.230;0.9652706844
6;17.575;0.9841675179
6;17.926;0.9954034729
6;18.285;0.9977017365
6;18.651;0.9997446374
6;19.024;1.0000000000
6;19.404;1.0000000000
6;19.792;1.0000000000
6;20.188;1.0000000000
6;20.592;1.0000000000
6;21.004;1.0000000000
6;21.424;1.0000000000
6;21.852;1.0000000000
6;22.289;1.0000000000
6;22.735;1.0000000000
6;23.190;1.0000000000
6;23.653;1.0000000000
6;24.127;1.0000000000
6;24.609;1.0000000000
6;25.101;1.0000000000
6;25.603;1.0000000000
6;26.115;1.0000000000
6;26.638;1.0000000000
6;27.170;1.0000000000
6;27.714;1.0000000000
6;28.268;1.0000000000
6;28.833;1.0000000000
6;29.410;1.0000000000
6;29.998;1.0000000000
