m;ep;log_ep,log_C 
5;19.404;2.9654843560;0.0000000000
5;19.792;2.9852869832;0.0000000000
5;20.188;3.0050896105;0.0000000000
5;20.592;3.0248922378;0.0000000000
5;21.004;3.0446948651;0.0000000000
5;21.424;3.0644974924;0.0000000000
5;21.852;3.0843001197;0.0000000000
5;22.289;3.1041027470;0.0000000000
5;22.735;3.1239053743;0.0000000000
5;23.190;3.1437080016;0.0000000000
5;23.653;3.1635106289;0.0000000000
5;24.127;3.1833132562;0.0000000000
5;24.609;3.2031158835;0.0000000000
5;25.101;3.2229185108;0.0000000000
5;25.603;3.2427211381;0.0000000000
5;26.115;3.2625237654;0.0000000000
5;26.638;3.2823263927;0.0000000000
5;27.170;3.3021290200;0.0000000000
5;27.714;3.3219316473;0.0000000000
5;28.268;3.3417342746;0.0000000000
5;28.833;3.3615369019;0.0000000000
5;29.410;3.3813395292;0.0000000000
5;29.998;3.4011421565;0.0000000000
5;30.598;3.4209447838;0.0000000000
5;31.210;3.4407474111;0.0000000000
5;31.834;3.4605500384;0.0000000000
5;32.471;3.4803526657;0.0000000000
5;33.121;3.5001552929;0.0000000000
5;33.783;3.5199579202;0.0000000000
5;34.459;3.5397605475;0.0000000000
5;35.148;3.5595631748;0.0000000000
5;35.851;3.5793658021;0.0000000000
5;36.568;3.5991684294;0.0000000000
5;37.299;3.6189710567;0.0000000000
5;38.045;3.6387736840;0.0000000000
5;38.806;3.6585763113;0.0000000000
5;39.582;3.6783789386;0.0000000000
5;40.374;3.6981815659;0.0000000000
5;41.181;3.7179841932;0.0000000000
5;42.005;3.7377868205;0.0000000000
5;42.845;3.7575894478;0.0000000000
5;43.702;3.7773920751;0.0000000000
5;44.576;3.7971947024;0.0000000000
5;45.467;3.8169973297;0.0000000000
5;46.377;3.8367999570;0.0000000000
5;47.304;3.8566025843;0.0000000000
5;48.250;3.8764052116;0.0000000000
5;49.215;3.8962078389;0.0000000000
5;50.200;3.9160104662;0.0000000000
5;51.204;3.9358130935;0.0000000000
5;52.228;3.9556157208;0.0000000000
5;53.272;3.9754183481;0.0000000000
5;54.338;3.9952209754;0.0000000000
5;55.425;4.0150236027;0.0000000000
5;56.533;4.0348262299;0.0000000000
5;57.664;4.0546288572;0.0000000000
5;58.817;4.0744314845;0.0000000000
5;59.993;4.0942341118;0.0000000000
5;61.193;4.1140367391;0.0000000000
5;62.417;4.1338393664;0.0000000000
5;63.665;4.1536419937;0.0000000000
5;64.939;4.1734446210;0.0000000000
5;66.238;4.1932472483;0.0000000000
5;67.562;4.2130498756;0.0000000000
5;68.914;4.2328525029;0.0000000000
5;70.292;4.2526551302;0.0000000000
5;0.000;-inf;-inf
